Calories, Total Fat (g),Trans Fat (g) ,Saturated Fat (g), Sodium (mg), Total Carbohydrates (g) ,Cholesterol (mg), Dietary Fibre (g), Sugars (g), Protein (g) ,Vitamin A (% DV) ,Vitamin C (% DV), Calcium (% DV) ,Iron (% DV) ,Encoded_Category,Bevg_Prep,cafe_numic
3,0.1,0.0,0.0,0,5,0,0,0,0.3,0.0,0.0,0.0,0.0,1,4,14
4,0.1,0.0,0.0,0,10,0,0,0,0.5,0.0,0.0,0.0,0.0,1,8,20
5,0.1,0.0,0.0,0,10,0,0,0,1.0,0.0,0.0,0.0,0.0,1,2,23
5,0.1,0.0,0.0,0,10,0,0,0,1.0,0.0,0.0,0.02,0.0,1,10,24
70,0.1,0.1,0.0,5,75,10,0,9,6.0,0.1,0.0,0.2,0.0,0,5,29
100,3.5,2.0,0.1,15,85,10,0,9,6.0,0.1,0.0,0.2,0.0,0,0,29
70,2.5,0.4,0.0,0,65,6,1,4,5.0,0.06,0.0,0.2,0.08,0,7,29
100,0.2,0.2,0.0,5,120,15,0,14,10.0,0.15,0.0,0.3,0.0,0,9,29
150,6,3.0,0.2,25,135,15,0,14,10.0,0.15,0.0,0.3,0.0,0,0,29
110,4.5,0.5,0.0,0,105,10,1,6,8.0,0.1,0.0,0.3,0.15,0,7,29
130,0.3,0.2,0.0,5,150,19,0,18,13.0,0.2,0.0,0.4,0.0,0,3,11
190,7,3.5,0.2,30,170,19,0,17,12.0,0.2,0.02,0.4,0.0,0,0,11
150,5,0.5,0.0,0,130,13,1,8,10.0,0.15,0.0,0.4,0.15,0,7,11
170,0.4,0.3,0.0,10,190,25,0,23,16.0,0.3,0.0,0.5,0.0,0,11,11
240,9,4.5,0.3,35,220,24,0,22,16.0,0.25,0.02,0.5,0.0,0,0,11
190,7,1.0,0.0,0,170,16,2,11,13.0,0.2,0.0,0.5,0.25,0,7,11
110,1.5,1.0,0.0,5,60,21,1,17,7.0,0.08,0.0,0.15,0.1,0,5,31
130,4,2.0,0.1,10,70,21,1,17,6.0,0.08,0.0,0.15,0.1,0,0,31
110,3.5,1.0,0.0,0,55,19,2,13,6.0,0.06,0.0,0.15,0.2,0,7,31
170,2,1.0,0.0,5,100,32,1,27,10.0,0.15,0.0,0.25,0.2,0,9,33
200,6,3.5,0.1,20,115,32,1,26,10.0,0.15,0.0,0.25,0.2,0,0,33
180,5,1.5,0.0,0,85,28,2,20,9.0,0.1,0.0,0.25,0.3,0,7,33
220,2.5,1.5,0.0,5,125,43,2,34,13.0,0.2,0.0,0.35,0.25,0,3,14
260,8,4.5,0.2,25,140,42,2,34,13.0,0.15,0.02,0.35,0.25,0,0,14
230,7,2.0,0.0,0,105,37,3,26,11.0,0.1,0.0,0.35,0.4,0,7,14
280,3,2.0,0.0,10,160,54,2,44,17.0,0.25,0.0,0.45,0.3,0,11,15
340,11,6.0,0.2,30,180,53,2,43,17.0,0.2,0.02,0.45,0.3,0,0,15
290,9,2.5,0.0,0,140,47,4,33,14.0,0.15,0.0,0.45,0.5,0,7,15
100,0.1,0.1,0.0,5,70,19,0,18,6.0,0.1,0.0,0.2,0.0,0,5,29
130,3.5,1.5,0.1,15,80,18,0,17,6.0,0.1,0.0,0.2,0.0,0,0,29
110,2.5,0.3,0.0,0,60,16,1,13,5.0,0.06,0.0,0.2,0.08,0,7,29
150,0.2,0.1,0.0,5,110,28,0,27,9.0,0.15,0.0,0.3,0.0,0,9,29
200,5,2.5,0.2,20,125,28,0,27,9.0,0.15,0.0,0.3,0.0,0,0,29
160,4,0.5,0.0,0,95,23,1,20,7.0,0.1,0.0,0.3,0.15,0,7,29
200,0.3,0.2,0.0,5,140,37,0,35,12.0,0.2,0.0,0.35,0.0,0,3,11
250,6,3.5,0.2,25,150,37,0,35,12.0,0.2,0.02,0.35,0.0,0,0,11
210,5,0.5,0.0,0,120,31,1,26,9.0,0.1,0.0,0.35,0.15,0,7,11
250,0.3,0.2,0.0,10,180,47,0,45,15.0,0.25,0.0,0.5,0.0,0,11,11
320,9,4.5,0.3,35,200,46,0,44,15.0,0.25,0.02,0.45,0.0,0,0,11
270,7,1.0,0.0,0,160,39,2,33,12.0,0.15,0.0,0.45,0.2,0,7,11
5,0,0.0,0.0,0,5,1,0,0,0.4,0.0,0.0,0.0,0.0,0,4,29
10,0,0.0,0.0,0,10,2,0,0,1.0,0.0,0.0,0.02,0.0,0,8,11
15,0,0.0,0.0,0,15,3,0,0,1.0,0.0,0.0,0.02,0.0,0,2,17
25,0,0.0,0.0,0,15,4,0,0,1.0,0.0,0.0,0.02,0.0,0,10,22
